movieId,movieName,movieRate
8111210,Royal Matchmaker,6.6
4795692,Sister Cities,6.8
2375417,Playdate,4.5
2193456,Nearlyweds,5.7
3593926,The Memory Book,6.8
7616668,Christmas Next Door,6.7
4622018,Swept Under,6.2
2937752,Common,7.3
2112127,Christmas Magic,6.6
7588798,Miss Christmas,6.7
3298820,Metalocalypse: The Doomstar Requiem - A Klok Opera,8.1
3241196,Sword Art Online Extra Edition,6.4
4648986,A Prince for Christmas,5.9
6041048,Autumn in the Vineyard,6.6
6428912,Michael Jackson: Searching for Neverland,6.4
7825514,Love on the Slopes,6.6
3106464,Garage Sale Mystery,6.9
6269810,Bad Ben,5.3
8498184,Christmas at Pemberley Manor,6.4
5670394,Wedding Bells,6.4
2343140,The Seven Year Hitch,6
5997848,The Christmas Cottage,6.4
7647010,The Mistletoe Inn,6.4
6782486,The Perfect Catch,6.6
3015110,Christmas in the City,5.9
5807628,The Last Dragonslayer,5.6
5688480,Stop the Wedding,6.4
3034594,Nowhere Safe,5.6
1967688,Desperately Seeking Santa,6
6131148,Love You Like Christmas,6.5
2293276,The Making of a Lady,6.7
2171901,Fugitive at 17,6.1
2282719,Blue-Eyed Butcher,5.6
3346986,A Ring by Spring,5.9
4328642,Stalked by My Neighbor,5.1
5231402,The Flight Before Christmas,6
2273004,The Good Witch's Charm,7.1
3252786,Cowboys vs Dinosaurs,2.7
4480940,Angels in the Snow,5.7
5252624,Stalked by My Doctor,5.5
6211502,Open Marriage,5.7
6338374,Love at First Glance,6.1
2805748,Grave Halloween,4.2
9046564,ReMastered: The Two Killings of Sam Cooke,7.3
2371381,Louis Theroux: Extreme Love - Autism,7.7
5210048,Merry Matrimony,5.8
2087985,The Pregnancy Project,6.6
4820224,Anne of Green Gables,6.4
7521040,George Michael: Freedom,7.7
3908634,With This Ring,5.5
1864461,Certain Prey,5.4
9033628,Mingle All the Way,7
3509114,Death Clique,5.5
7370936,The Christmas Train,6.6
2475914,Holiday High School Reunion,5
7271684,The Story of Diana,8.1
6076802,Pumpkin Pie Wars,6.8
2107651,I Married Who?,6.1
8634202,A Shoe Addict's Christmas,6.8
6263260,A Heavenly Christmas,6.5
5605328,Tulips in Spring,6.4
2846378,Jack Irish: Dead Point,6.9
5734214,Summer in the City,6.5
7756492,Frozen in Love,6.7
7385392,Finding Santa,6.4
